Token,Item Name,Description,Category,SKU,Variation Name,Price,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity r a u l Retail,New Quantity r a u l Retail,Stock Alert Enabled r a u l Retail,Stock Alert Count r a u l Retail,Tax - NY Sales Tax (8.875%)
PT4AM3RIJGZMRGVLFOEUKIES,Abstract Candlestick,Glass Candlestick Clear 15.5 H x 5.5 W,Candlesticks,,Regular,19.00,,,,,,0,,,,Y
KHGPSYVBPZ6P6F3SJ3ELSUAR,Abstract Dessert Pate,Ceramic Dinnerware Multicolored 9 H x 9 W,Dinnerware,,Regular,10.00,,,,,,137,,,,Y
6DTNG2EAWYJFZM2DBYME6FMF,Abstract Dinner Plate,Ceramic Dinnerware Multicolored 11 H x 11 W,Dinnerware,,Regular,14.00,,,,,,37,,,,Y
OBMAONBMVOLJYR66RLUBMVHO,Abstract Footed Vase,Glass Footed Vase Clear 7 H x 5.25 W,"Vases, Footed",,Regular,49.00,,,,,,9,,,,Y
UTATAWH6FCHX6H3HJ4JXNA27,Abstract Salad Plate,Ceramic Dinnerware Multicolored 9 H x 9 W,Dinnerware,,Regular,11.00,,,,,,17,,,,Y
PLVXS7J25K42Z2HFH4RCU36W,Abstract Saucer,Ceramic Dinnerware Mulitcolored 6 H x 6 W,Dinnerware,,Regular,6.00,,,,,,128,,,,Y
FIWLWOJ74PD6OH6R7UYPCRNL,Adventure Letter Opener,Metal/Wood Desk Accessory,Stationary,,Regular,54.00,,,,,,2,,,,Y
7ZR3SCLLQMWBBWS6LZZUAZQF,Adventure Magnifying Glass,Glass/Wood Desk Accessory,Stationary,,Regular,44.00,,,,,,1,,,,Y
YPOWAGI4RRXBO27FI53XLYVX,Aged Florentine Urn Terra Cotta,Terra Cotta Cashpot Moss 13.5 H x 11 W,Cashpots,,Regular,50.00,,,,,,7,,,,Y
AAX3NBCVS2NM57KD5LWZ75ID,Aged Pot,"Large Distressed White Pot 29.5""H x 29.5""W
Medium Distressed White Pot 26""H x 26""W
Small Distressed White Pot 22""H x 22""W
Extra Small Distressed White Pot 18""H x 18""W",Cashpots,,Large,780.00,,,,,,2,,,,Y
K6F6IZ7YXMA4LC3YNDS3HUCG,Aged Pot,,Cashpots,,Medium,498.00,,,,,,1,,,,Y
WMTJNJU7AKREM4SHM372FSNV,Aged Pot,,Cashpots,,Small,294.00,,,,,,2,,,,Y
EDGA2WS75YHAWTWF2HUBPBQY,Aged Pot,,Cashpots,,Extra Small,158.00,,,,,,2,,,,Y
OP5YFXONRVVODZ33BCPS5ZHU,Alto Planter,,Cashpots,,X-Large,445.00,,,,,,,,,,Y
URCQLH7DFQTPGECHTQ6WRVID,Alto Planter,,Cashpots,,Large,235.00,,,,,,,,,,Y
AETNPST5BFVQS5YGV7KYUTNZ,Alto Planter,,Cashpots,,Medium,135.00,,,,,,,,,,Y
DOBTEORLEGNV2ESQH7VGUDNT,Alto Planter,,Cashpots,,Small,75.00,,,,,,,,,,Y
HLQEKA2UYBXP62T4V5535U3R,Amarantus,,Floral,,White,3.00,,,,,,9990,,,,Y
G2ZS675UMBVWUGM2WD6OX4QQ,Amarantus,,Floral,,Yellow,3.00,,,,,,9997,,,,Y
D5LQGWFE7IFQNFSIMLBWKCP5,Amarantus,,Floral,,Pink,3.00,,,,,,10000,,,,Y
